# BJD-2454000 Mag Magerr KcMag KcMagerr
1568.3541079424322 12.1352643966675 4.2222996125929e-04 12.1586246490479 5.3376343566924e-04
1568.3547889185138 12.1356334686279 4.2241820483468e-04 12.1590147018433 5.3426087833941e-04
1568.3554699942470 12.1355504989624 4.2243048665114e-04 12.1589126586914 5.3450179984793e-04
1568.3561511705630 12.1362552642822 4.2274949373677e-04 12.1596689224243 5.3515034960583e-04
1568.3568322462961 12.1360435485840 4.2271226993762e-04 12.1594295501709 5.3529412252828e-04
1568.3575133220293 12.1356201171875 4.2259236215614e-04 12.1589593887329 5.3530995501205e-04
1568.3581944978796 12.1349544525146 4.2237862362526e-04 12.1582260131836 5.3518242202699e-04
1568.3588755740784 12.1354389190674 4.2261264752597e-04 12.1587467193604 5.3565768757835e-04
1568.3595566498116 12.1359424591064 4.2285447125323e-04 12.1592864990234 5.3613039199263e-04
1568.3602377260104 12.1356077194214 4.2277018656023e-04 12.1589164733887 5.3614017087966e-04
1568.3609188017435 12.1348018646240 4.2250205297023e-04 12.1580333709717 5.3588324226439e-04
1568.3615998774767 12.1349792480469 4.2261768248864e-04 12.1582221984863 5.3614238277078e-04
1568.3622809536755 12.1344871520996 4.2247225064784e-04 12.1576805114746 5.3602899424732e-04
1568.3629621295258 12.1351375579834 4.2277216562070e-04 12.1583852767944 5.3651753114536e-04
1568.3636432052590 12.1356506347656 4.2301800567657e-04 12.1589374542236 5.3691922221333e-04
1568.3643242814578 12.1354455947876 4.2298508924432e-04 12.1587104797363 5.3692457731813e-04
1568.3650054573081 12.1356401443481 4.2310782009736e-04 12.1589193344116 5.3713307715952e-04
1568.3656865330413 12.1351242065430 4.2295380262658e-04 12.1583557128906 5.3694815142080e-04
1568.3663675091229 12.1357975006104 4.2326361290179e-04 12.1590843200684 5.3739239228889e-04
1568.3670486849733 12.1353950500488 4.2315444443375e-04 12.1586475372314 5.3724762983620e-04
1568.3677297607064 12.1361217498779 4.2348486022092e-04 12.1594343185425 5.3769914666191e-04
1568.3684108369052 12.1352682113647 4.2320013744757e-04 12.1585063934326 5.3729128558189e-04
1568.3690920127556 12.1349935531616 4.2314117308706e-04 12.1582069396973 5.3718528943136e-04
1568.3697730884887 12.1351337432861 4.2324361857027e-04 12.1583585739136 5.3729256615043e-04
1568.3704541646875 12.1352863311768 4.2328712879680e-04 12.1585254669189 5.3734052926302e-04
1568.3711353405379 12.1345138549805 4.2297047912143e-04 12.1576862335205 5.3688237676397e-04
1568.3718163161539 12.1353149414062 4.2326707625762e-04 12.1585578918457 5.3726189071313e-04
1568.3724973923527 12.1351585388184 4.2319047497585e-04 12.1583881378174 5.3711823420599e-04
1568.3731785682030 12.1342983245850 4.2284041410312e-04 12.1574563980103 5.3658924298361e-04
1568.3738596439362 12.1345481872559 4.2292239959352e-04 12.1577291488647 5.3664867300540e-04
1568.3745407201350 12.1348686218262 4.2303264490329e-04 12.1580810546875 5.3673965157941e-04
1568.3752218959853 12.1359548568726 4.2344105895609e-04 12.1592636108398 5.3723488235846e-04
1568.3759029717185 12.1353340148926 4.2318453779444e-04 12.1585922241211 5.3680612472817e-04
1568.3765840479173 12.1345500946045 4.2286468669772e-04 12.1577425003052 5.3628382738680e-04
1568.3772651236504 12.1352024078369 4.2310470598750e-04 12.1584548950195 5.3652748465538e-04
1568.3779461998492 12.1358871459961 4.2335721082054e-04 12.1592025756836 5.3678249241784e-04
1568.3786272755824 12.1353874206543 4.2314856546000e-04 12.1586637496948 5.3639651741832e-04
1568.3793084514327 12.1356525421143 4.2323846719228e-04 12.1589565277100 5.3641671547666e-04
1568.3799895271659 12.1361694335938 4.2342621600255e-04 12.1595220565796 5.3656712407246e-04
1568.3806706033647 12.1352500915527 4.2305479291826e-04 12.1585283279419 5.3594284690917e-04
1568.3813517792150 12.1351165771484 4.2298916378058e-04 12.1583862304688 5.3573568584397e-04
1568.3820328554139 12.1351442337036 4.2298703920096e-04 12.1584224700928 5.3561234381050e-04
