# BJD-2454000 Mag Magerr KcMag KcMagerr
1568.3540118820965 11.2546062469482 2.4657964240760e-04 11.2468147277832 2.7509944629855e-04
1568.3546928656287 11.2550487518311 2.4663851945661e-04 11.2472648620605 2.7531158411875e-04
1568.3553739497438 11.2551651000977 2.4662341456860e-04 11.2473869323730 2.7543251053430e-04
1568.3560551335104 11.2549524307251 2.4653365835547e-04 11.2471742630005 2.7546138153411e-04
1568.3567362171598 11.2547950744629 2.4645659141243e-04 11.2470169067383 2.7549706283025e-04
1568.3574173008092 11.2551956176758 2.4650641717017e-04 11.2474250793457 2.7566912467591e-04
1568.3580984845757 11.2551288604736 2.4645047960803e-04 11.2473602294922 2.7571432292461e-04
1568.3587795682251 11.2551565170288 2.4641590425745e-04 11.2473907470703 2.7577666332945e-04
1568.3594606518745 11.2549810409546 2.4633525754325e-04 11.2472152709961 2.7577992295846e-04
1568.3601417355239 11.2548236846924 2.4625912192278e-04 11.2470569610596 2.7578161098063e-04
1568.3608228191733 11.2550354003906 2.4626651429571e-04 11.2472734451294 2.7587139629759e-04
1568.3615039028227 11.2546043395996 2.4612873676233e-04 11.2468395233154 2.7579016750678e-04
1568.3621849869378 11.2552518844604 2.4623548961245e-04 11.2474956512451 2.7598015731201e-04
1568.3628661702387 11.2548484802246 2.4610388209112e-04 11.2470884323120 2.7589363162406e-04
1568.3635472543538 11.2549152374268 2.4607928935438e-04 11.2471580505371 2.7592258993536e-04
1568.3642283380032 11.2547149658203 2.4599416065030e-04 11.2469558715820 2.7587712975219e-04
1568.3649095217697 11.2550563812256 2.4603199562989e-04 11.2473030090332 2.7596572181210e-04
1568.3655906054191 11.2548389434814 2.4594340356998e-04 11.2470836639404 2.7590533136390e-04
1568.3662715889513 11.2547597885132 2.4588609812781e-04 11.2470035552979 2.7587523800321e-04
1568.3669527727179 11.2549858093262 2.4589829263277e-04 11.2472343444824 2.7591901016422e-04
1568.3676338563673 11.2556114196777 2.4600102915429e-04 11.2478675842285 2.7606074581854e-04
1568.3683149404824 11.2550506591797 2.4583493359387e-04 11.2472991943359 2.7589235105552e-04
1568.3689961237833 11.2549304962158 2.4576915893704e-04 11.2471780776978 2.7583335759118e-04
1568.3696772078983 11.2549457550049 2.4573411792517e-04 11.2471942901611 2.7580489404500e-04
1568.3703582915477 11.2549514770508 2.4573618429713e-04 11.2471990585327 2.7580486494116e-04
1568.3710394753143 11.2548227310181 2.4570821551606e-04 11.2470693588257 2.7576662250794e-04
1568.3717204588465 11.2547941207886 2.4570300593041e-04 11.2470407485962 2.7575041167438e-04
1568.3724015424959 11.2548713684082 2.4572177790105e-04 11.2471199035645 2.7575777494349e-04
1568.3730827262625 11.2548418045044 2.4571659741923e-04 11.2470884323120 2.7573431725614e-04
1568.3737638099119 11.2547760009766 2.4570335517637e-04 11.2470216751099 2.7569837402552e-04
1568.3744448940270 11.2550859451294 2.4577532894909e-04 11.2473354339600 2.7575602871366e-04
1568.3751260773279 11.2549114227295 2.4573761038482e-04 11.2471580505371 2.7568603400141e-04
1568.3758071614429 11.2550668716431 2.4577506701462e-04 11.2473144531250 2.7569869416766e-04
1568.3764882450923 11.2547588348389 2.4570748792030e-04 11.2470016479492 2.7558923466131e-04
1568.3771693287417 11.2550458908081 2.4577480508015e-04 11.2472915649414 2.7563059120439e-04
1568.3778504123911 11.2552909851074 2.4583283811808e-04 11.2475395202637 2.7565902564675e-04
1568.3785314960405 11.2548809051514 2.4574264534749e-04 11.2471227645874 2.7551696985029e-04
1568.3792126798071 11.2548255920410 2.4573283735663e-04 11.2470645904541 2.7546423370950e-04
1568.3798937634565 11.2548847198486 2.4574936833233e-04 11.2471237182617 2.7543952455744e-04
1568.3805748475716 11.2553462982178 2.4585684877820e-04 11.2475900650024 2.7551638777368e-04
1568.3812560308725 11.2552709579468 2.4584331549704e-04 11.2475137710571 2.7545445482247e-04
