# BJD-2454000 Mag Magerr KcMag KcMagerr
2078.8285739747807 12.3300676345825 4.5024845167063e-04 12.2917938232422 4.7270307550207e-04
2078.8292551073246 12.3304309844971 4.5044222497381e-04 12.2921686172485 4.7286509652622e-04
2078.8299362394027 12.3300533294678 4.5032877824269e-04 12.2917814254761 4.7269492642954e-04
2078.8306174715981 12.3298463821411 4.5028608292341e-04 12.2915678024292 4.7260141582228e-04
2078.8312985040247 12.3302536010742 4.5049923937768e-04 12.2919912338257 4.7278462443501e-04
2078.8319796361029 12.3302822113037 4.5055497321300e-04 12.2920227050781 4.7279775026254e-04
2078.8326607681811 12.3308944702148 4.5085273450240e-04 12.2926540374756 4.7307263594121e-04
2078.8333420003764 12.3299283981323 4.5049618347548e-04 12.2916603088379 4.7264015302062e-04
2078.8340231329203 12.3300580978394 4.5059432159178e-04 12.2917947769165 4.7269943752326e-04
2078.8347042649984 12.3308410644531 4.5096423127688e-04 12.2926044464111 4.7305252519436e-04
2078.8353854971938 12.3308353424072 4.5100651914254e-04 12.2925987243652 4.7305156476796e-04
2078.8360666292720 12.3299770355225 4.5069493353367e-04 12.2917175292969 4.7266832552850e-04
2078.8367476616986 12.3300189971924 4.5075747766532e-04 12.2917613983154 4.7268948401324e-04
2078.8374288938940 12.3301897048950 4.5087345642969e-04 12.2919387817383 4.7276853001676e-04
2078.8381100259721 12.3300666809082 4.5086795580573e-04 12.2918138504028 4.7271646326408e-04
2078.8387911585160 12.3300437927246 4.5090410276316e-04 12.2917919158936 4.7270942013711e-04
2078.8394723907113 12.3305587768555 4.5116388355382e-04 12.2923240661621 4.7294434625655e-04
2078.8401535227895 12.3293571472168 4.5071062049828e-04 12.2910881042480 4.7240935964510e-04
2078.8408347549848 12.3299798965454 4.5101536670700e-04 12.2917299270630 4.7269364586100e-04
2078.8415158870630 12.3307542800903 4.5138341374695e-04 12.2925300598145 4.7304696636274e-04
2078.8421969194897 12.3305902481079 4.5136152766645e-04 12.2923622131348 4.7297967830673e-04
2078.8428780515678 12.3294029235840 4.5091504580341e-04 12.2911415100098 4.7245484893210e-04
